"","HISTO.CASETTE.NO","sex","cat","pco2_h_l","treatment","tank_id","temp_deg_c"
"1","1","F",2,"l","El Nino",37,"21-18"
"2","10","M",3,"l","El Nino",37,"21-18"
"3","100","M",1,"l","El Nino",39,"21-18"
"4","101","M",1,"l","El Nino",39,"21-18"
"5","102","F",1,"l","El Nino",39,"21-18"
"6","103","M",1,"l","El Nino",39,"21-18"
"7","104","F",4,"l","El Nino",39,"21-18"
"8","105","F",2,"l","El Nino",39,"21-18"
"9","106","M",4,"l","La Nina",24,"18-14"
"10","107","F",4,"l","La Nina",24,"18-14"
"11","108","F",4,"l","La Nina",24,"18-14"
"12","109","F",4,"l","La Nina",24,"18-14"
"13","10L01","F",2,"l","static",38,"10"
"14","10L02","M",4,"l","static",38,"10"
"15","10L03","M",4,"l","static",38,"10"
"16","10L04","M",4,"l","static",38,"10"
"17","10L05","M",4,"l","static",38,"10"
"18","10L06","F",2,"l","static",38,"10"
"19","10L07","M",4,"l","static",38,"10"
"20","10L08","F",4,"l","static",38,"10"
"21","10L09","M",3,"l","static",38,"10"
"22","10L10","M",4,"l","static",38,"10"
"23","10L11","M",4,"l","static",38,"10"
"24","10L12","M",3,"l","static",38,"10"
"25","10L13","M",3,"l","static",38,"10"
"26","10L14","M",4,"l","static",38,"10"
"27","10L15","M",1,"l","static",38,"10"
"28","10L16","F",4,"l","static",38,"10"
"29","10L17","F",2,"l","static",38,"10"
"30","10L18","F",4,"l","static",38,"10"
"31","10L19","M",4,"l","static",7,"10"
"32","10L20","M",4,"l","static",7,"10"
"33","10L21","M",3,"l","static",7,"10"
"34","10L22","M",4,"l","static",7,"10"
"35","10L23","F",1,"l","static",7,"10"
"36","10L24","M",1,"l","static",7,"10"
"37","10L25","M",4,"l","static",7,"10"
"38","10L26","M",3,"l","static",7,"10"
"39","10L27","F",4,"l","static",7,"10"
"40","10L28","F",4,"l","static",7,"10"
"41","10L29","F",3,"l","static",7,"10"
"42","10L30","F",4,"l","static",7,"10"
"43","10L31","F",4,"l","static",7,"10"
"44","10L32","F",4,"l","static",7,"10"
"45","11","F",4,"l","La Nina",33,"18-14"
"46","110","F",4,"l","La Nina",24,"18-14"
"47","111","F",4,"l","La Nina",24,"18-14"
"48","112","M",4,"l","La Nina",24,"18-14"
"49","113","M",4,"l","La Nina",24,"18-14"
"50","114","M",2,"l","La Nina",24,"18-14"
"51","115","M",4,"l","La Nina",24,"18-14"
"52","116","F",4,"l","La Nina",24,"18-14"
"53","117","M",4,"l","La Nina",24,"18-14"
"54","118","F",4,"l","La Nina",24,"18-14"
"55","119","M",4,"l","La Nina",24,"18-14"
"56","12","F",2,"l","La Nina",33,"18-14"
"57","120","M",4,"l","La Nina",24,"18-14"
"58","13","M",4,"l","La Nina",33,"18-14"
"59","13L01","F",4,"l","static",26,"13"
"60","13L02","M",3,"l","static",3,"13"
"61","13L03","F",4,"l","static",26,"13"
"62","13L04","M",4,"l","static",26,"13"
"63","13L05","M",3,"l","static",26,"13"
"64","13L06","M",4,"l","static",3,"13"
"65","13L07","F",4,"l","static",3,"13"
"66","13L08","M",4,"l","static",26,"13"
"67","13L09","M",4,"l","static",3,"13"
"68","13L10","F",4,"l","static",3,"13"
"69","13L11","M",4,"l","static",26,"13"
"70","13L12","F",4,"l","static",26,"13"
"71","13L13","F",4,"l","static",26,"13"
"72","13L14","M",4,"l","static",26,"13"
"73","13L15","F",4,"l","static",3,"13"
"74","13L16","F",4,"l","static",3,"13"
"75","13L17","F",4,"l","static",26,"13"
"76","13L18","M",1,"l","static",26,"13"
"77","13L19","F",4,"l","static",3,"13"
"78","13L20","F",4,"l","static",3,"13"
"79","13L21","M",4,"l","static",3,"13"
"80","13L22","F",2,"l","static",26,"13"
"81","13L23","F",3,"l","static",26,"13"
"82","13L24","F",4,"l","static",3,"13"
"83","13L25","F",4,"l","static",26,"13"
"84","13L26","F",4,"l","static",3,"13"
"85","13L27","F",4,"l","static",3,"13"
"86","13L28","F",4,"l","static",3,"13"
"87","13L29","M",4,"l","static",3,"13"
"88","13L30","F",4,"l","static",26,"13"
"89","14","F",4,"l","El Nino",37,"21-18"
"90","15","F",4,"l","La Nina",5,"18-14"
"91","16","F",4,"l","La Nina",33,"18-14"
"92","16H01","M",4,"h","static",36,"16"
"93","16H02","F",4,"h","static",36,"16"
"94","16H03","F",4,"h","static",36,"16"
"95","16H04","M",1,"h","static",36,"16"
"96","16H05","M",4,"h","static",36,"16"
"97","16H06","F",4,"h","static",36,"16"
"98","16H07","F",3,"h","static",36,"16"
"99","16H08","M",4,"h","static",36,"16"
"100","16H09","M",4,"h","static",36,"16"
"101","16H10","M",4,"h","static",36,"16"
"102","16H11","F",1,"h","static",36,"16"
"103","16H12","F",4,"h","static",36,"16"
"104","16H13","F",4,"h","static",36,"16"
"105","16H14","F",4,"h","static",36,"16"
"106","16H15","M",4,"h","static",21,"16"
"107","16H16","M",4,"h","static",21,"16"
"108","16H17","F",4,"h","static",21,"16"
"109","16H18","M",4,"h","static",21,"16"
"110","16H19","M",4,"h","static",21,"16"
"111","16H20","F",4,"h","static",21,"16"
"112","16H21","F",4,"h","static",21,"16"
"113","16H22","F",4,"h","static",21,"16"
"114","16H23","M",4,"h","static",21,"16"
"115","16H24","F",4,"h","static",21,"16"
"116","16H25","F",4,"h","static",21,"16"
"117","16H26","F",4,"h","static",21,"16"
"118","16H27","M",4,"h","static",21,"16"
"119","16H28","F",4,"h","static",21,"16"
"120","16H29","F",4,"h","static",21,"16"
"121","16H30","M",4,"h","static",36,"16"
"122","16L01","F",3,"l","static",32,"16"
"123","16L02","F",4,"l","static",32,"16"
"124","16L03","M",4,"l","static",32,"16"
"125","16L04","F",4,"l","static",32,"16"
"126","16L05","F",4,"l","static",32,"16"
"127","16L06","M",4,"l","static",32,"16"
"128","16L07","M",4,"l","static",32,"16"
"129","16L08","M",4,"l","static",32,"16"
"130","16L09","M",4,"l","static",32,"16"
"131","16L10","F",4,"l","static",32,"16"
"132","16L11","F",4,"l","static",32,"16"
"133","16L12","F",4,"l","static",32,"16"
"134","16L13","M",4,"l","static",32,"16"
"135","16L14","F",4,"l","static",32,"16"
"136","16L15","F",4,"l","static",32,"16"
"137","16L16","F",4,"l","static",29,"16"
"138","16L17","M",4,"l","static",29,"16"
"139","16L18","F",3,"l","static",29,"16"
"140","16L19","F",4,"l","static",29,"16"
"141","16L20","F",4,"l","static",29,"16"
"142","16L21","F",4,"l","static",29,"16"
"143","16L22","M",4,"l","static",29,"16"
"144","16L23","F",4,"l","static",29,"16"
"145","16L24","M",4,"l","static",29,"16"
"146","16L25","F",4,"l","static",29,"16"
"147","16L26","M",4,"l","static",29,"16"
"148","16L27","F",4,"l","static",29,"16"
"149","16L28","F",4,"l","static",29,"16"
"150","16L29","F",2,"l","static",29,"16"
"151","16L30","F",4,"l","static",29,"16"
"152","17","F",4,"l","La Nina",33,"18-14"
"153","17H01","F",4,"h","static",35,"17"
"154","17H02","F",4,"h","static",35,"17"
"155","17H03","M",2,"h","static",35,"17"
"156","17H04","F",4,"h","static",35,"17"
"157","17H05","F",4,"h","static",35,"17"
"158","17H06","M",4,"h","static",35,"17"
"159","17H07","M",4,"h","static",35,"17"
"160","17H08","M",1,"h","static",35,"17"
"161","17H09","M",2,"h","static",35,"17"
"162","17H10","F",4,"h","static",35,"17"
"163","17H11","M",2,"h","static",35,"17"
"164","17H12","M",1,"h","static",35,"17"
"165","17H13","M",1,"h","static",35,"17"
"166","17H14","M",2,"h","static",35,"17"
"167","17H15","M",2,"h","static",35,"17"
"168","17H16","M",4,"h","static",30,"17"
"169","17H17","M",4,"h","static",30,"17"
"170","17H18","F",4,"h","static",30,"17"
"171","17H19","F",4,"h","static",30,"17"
"172","17H20","M",2,"h","static",30,"17"
"173","17H21","F",1,"h","static",30,"17"
"174","17H22","F",4,"h","static",30,"17"
"175","17H23","F",1,"h","static",30,"17"
"176","17H24","M",4,"h","static",30,"17"
"177","17H25","M",2,"h","static",30,"17"
"178","17H26","M",4,"h","static",30,"17"
"179","17H27","F",4,"h","static",30,"17"
"180","17H28","M",4,"h","static",30,"17"
"181","17H29","F",1,"h","static",30,"17"
"182","17H30","F",4,"h","static",30,"17"
"183","17L01","F",2,"l","static",40,"17"
"184","17L02","M",4,"l","static",40,"17"
"185","17L03","F",4,"l","static",40,"17"
"186","17L04","F",4,"l","static",40,"17"
"187","17L05","F",4,"l","static",40,"17"
"188","17L06","F",1,"l","static",40,"17"
"189","17L07","F",4,"l","static",40,"17"
"190","17L08","M",4,"l","static",40,"17"
"191","17L09","F",4,"l","static",40,"17"
"192","17L10","F",4,"l","static",40,"17"
"193","17L11","F",4,"l","static",40,"17"
"194","17L12","M",4,"l","static",40,"17"
"195","17L13","M",4,"l","static",40,"17"
"196","17L14","M",4,"l","static",40,"17"
"197","17L15","F",4,"l","static",40,"17"
"198","17L16","M",3,"l","static",13,"17"
"199","17L17","M",4,"l","static",13,"17"
"200","17L18","F",1,"l","static",13,"17"
"201","17L19","F",4,"l","static",13,"17"
"202","17L20","M",4,"l","static",13,"17"
"203","17L21","M",4,"l","static",13,"17"
"204","17L22","M",3,"l","static",13,"17"
"205","17L23","F",4,"l","static",13,"17"
"206","17L24","M",4,"l","static",13,"17"
"207","17L25","M",3,"l","static",13,"17"
"208","17L26","F",4,"l","static",13,"17"
"209","17L27","M",1,"l","static",13,"17"
"210","17L28","F",4,"l","static",13,"17"
"211","17L29","M",4,"l","static",13,"17"
"212","17L30","M",4,"l","static",13,"17"
"213","18","F",1,"l","El Nino",37,"21-18"
"214","18","F",1,"l","La Nina",33,"18-14"
"215","18H01","M",2,"h","static",17,"18"
"216","18H02","F",4,"h","static",15,"18"
"217","18H03","F",1,"h","static",15,"18"
"218","18H04","F",2,"h","static",17,"18"
"219","18H05","F",4,"h","static",15,"18"
"220","18H06","M",1,"h","static",17,"18"
"221","18H07","M",4,"h","static",15,"18"
"222","18H08","M",4,"h","static",15,"18"
"223","18H09","F",1,"h","static",17,"18"
"224","18H10","F",1,"h","static",17,"18"
"225","18H11","F",4,"h","static",17,"18"
"226","18H12","F",4,"h","static",17,"18"
"227","18H13","F",1,"h","static",17,"18"
"228","18H14","F",4,"h","static",15,"18"
"229","18H15","F",4,"h","static",15,"18"
"230","18H16","M",4,"h","static",17,"18"
"231","18H17","F",1,"h","static",17,"18"
"232","18H18","F",1,"h","static",15,"18"
"233","18H19","F",4,"h","static",15,"18"
"234","18H21","F",4,"h","static",17,"18"
"235","18H22","F",4,"h","static",15,"18"
"236","18H23","M",4,"h","static",17,"18"
"237","18H24","M",4,"h","static",17,"18"
"238","18H25","F",3,"h","static",17,"18"
"239","18H26","M",2,"h","static",15,"18"
"240","18H27","M",2,"h","static",17,"18"
"241","18H28","F",2,"h","static",17,"18"
"242","18H29","M",4,"h","static",15,"18"
"243","18L01","M",4,"l","static",27,"18"
"244","18L02","M",4,"l","static",18,"18"
"245","18L03","M",4,"l","static",18,"18"
"246","18L04","M",4,"l","static",27,"18"
"247","18L05","M",4,"l","static",18,"18"
"248","18L06","F",3,"l","static",18,"18"
"249","18L07","M",4,"l","static",27,"18"
"250","18L08","F",4,"l","static",18,"18"
"251","18L09","M",3,"l","static",27,"18"
"252","18L10","M",4,"l","static",18,"18"
"253","18L11","M",4,"l","static",27,"18"
"254","18L12","M",3,"l","static",27,"18"
"255","18L13","F",2,"l","static",18,"18"
"256","18L14","F",3,"l","static",27,"18"
"257","18L15","M",4,"l","static",27,"18"
"258","18L16","F",4,"l","static",18,"18"
"259","18L17","F",4,"l","static",27,"18"
"260","18L18","F",4,"l","static",27,"18"
"261","18L19","F",4,"l","static",27,"18"
"262","18L20","F",4,"l","static",27,"18"
"263","18L21","F",4,"l","static",27,"18"
"264","18L22","F",4,"l","static",18,"18"
"265","18L23","M",4,"l","static",18,"18"
"266","18L24","F",4,"l","static",27,"18"
"267","18L25","F",4,"l","static",18,"18"
"268","18L26","F",1,"l","static",27,"18"
"269","18L27","F",4,"l","static",18,"18"
"270","18L28","M",4,"l","static",18,"18"
"271","19","M",4,"l","El Nino",19,"21-18"
"272","2","F",1,"l","El Nino",19,"21-18"
"273","20","F",4,"l","La Nina",5,"18-14"
"274","20H01","F",4,"h","static",6,"20"
"275","20H02","M",2,"h","static",6,"20"
"276","20H03","M",2,"h","static",6,"20"
"277","20H04","F",2,"h","static",6,"20"
"278","20H05","F",2,"h","static",6,"20"
"279","20H06","F",1,"h","static",6,"20"
"280","20H07","M",1,"h","static",6,"20"
"281","20H08","F",4,"h","static",6,"20"
"282","20H09","F",4,"h","static",6,"20"
"283","20H10","M",2,"h","static",6,"20"
"284","20H11","F",3,"h","static",6,"20"
"285","20H12","F",3,"h","static",6,"20"
"286","20H13","M",4,"h","static",6,"20"
"287","20H14","M",2,"h","static",6,"20"
"288","20H15","F",2,"h","static",6,"20"
"289","20H16","M",2,"h","static",31,"20"
"290","20H17","M",4,"h","static",31,"20"
"291","20H18","F",1,"h","static",31,"20"
"292","20H19","M",4,"h","static",31,"20"
"293","20H20","F",1,"h","static",31,"20"
"294","20H21","F",1,"h","static",31,"20"
"295","20H22","F",4,"h","static",31,"20"
"296","20H23","M",4,"h","static",31,"20"
"297","20H24","F",4,"h","static",31,"20"
"298","20H25","F",4,"h","static",31,"20"
"299","20H26","F",1,"h","static",31,"20"
"300","20H27","M",3,"h","static",31,"20"
"301","20L01","F",2,"l","static",34,"20"
"302","20L02","M",3,"l","static",34,"20"
"303","20L03","M",4,"l","static",34,"20"
"304","20L04","F",1,"l","static",34,"20"
"305","20L05","F",1,"l","static",34,"20"
"306","20L06","M",3,"l","static",34,"20"
"307","20L07","M",4,"l","static",34,"20"
"308","20L08","F",3,"l","static",34,"20"
"309","20L09","F",1,"l","static",34,"20"
"310","20L10","F",4,"l","static",34,"20"
"311","20L11","F",3,"l","static",34,"20"
"312","20L12","F",2,"l","static",34,"20"
"313","20L13","F",1,"l","static",34,"20"
"314","20L14","M",4,"l","static",34,"20"
"315","20L15","F",1,"l","static",9,"20"
"316","20L16","F",1,"l","static",9,"20"
"317","20L17","M",4,"l","static",9,"20"
"318","20L18","M",4,"l","static",9,"20"
"319","20L19","M",4,"l","static",9,"20"
"320","20L20","M",4,"l","static",9,"20"
"321","20L21","M",4,"l","static",9,"20"
"322","20L22","M",4,"l","static",9,"20"
"323","20L23","F",1,"l","static",9,"20"
"324","20L24","M",4,"l","static",9,"20"
"325","20L25","F",1,"l","static",9,"20"
"326","20L26","M",4,"l","static",9,"20"
"327","20L27","F",4,"l","static",34,"20"
"328","21","F",4,"l","La Nina",33,"18-14"
"329","22","F",2,"l","La Nina",33,"18-14"
"330","23","F",4,"l","La Nina",33,"18-14"
"331","24","F",4,"l","La Nina",33,"18-14"
"332","25","M",4,"l","El Nino",19,"21-18"
"333","28","F",4,"l","La Nina",33,"18-14"
"334","29","M",4,"l","La Nina",33,"18-14"
"335","3","M",3,"l","El Nino",19,"21-18"
"336","30","F",3,"l","El Nino",37,"21-18"
"337","31","M",4,"l","La Nina",5,"18-14"
"338","32","M",3,"l","La Nina",5,"18-14"
"339","33","M",4,"l","La Nina",5,"18-14"
"340","34","F",4,"l","La Nina",5,"18-14"
"341","35","M",4,"l","La Nina",33,"18-14"
"342","36","M",4,"l","La Nina",5,"18-14"
"343","37","F",2,"l","La Nina",5,"18-14"
"344","38","M",4,"l","La Nina",5,"18-14"
"345","39","F",3,"l","El Nino",37,"21-18"
"346","4","F",4,"l","La Nina",5,"18-14"
"347","40","F",1,"l","El Nino",37,"21-18"
"348","41","F",4,"l","La Nina",5,"18-14"
"349","42","F",4,"l","La Nina",5,"18-14"
"350","43","F",4,"l","La Nina",5,"18-14"
"351","44","F",1,"l","El Nino",19,"21-18"
"352","45","M",2,"l","El Nino",37,"21-18"
"353","46","F",4,"l","La Nina",5,"18-14"
"354","47","M",4,"l","El Nino",19,"21-18"
"355","48","F",4,"l","La Nina",33,"18-14"
"356","49","M",4,"l","El Nino",37,"21-18"
"357","5","M",4,"l","La Nina",5,"18-14"
"358","50","M",4,"l","El Nino",37,"21-18"
"359","51","M",3,"l","El Nino",19,"21-18"
"360","52","F",1,"l","El Nino",19,"21-18"
"361","53","M",4,"l","El Nino",19,"21-18"
"362","54","F",4,"l","El Nino",19,"21-18"
"363","55","M",4,"l","El Nino",37,"21-18"
"364","56","F",1,"l","El Nino",19,"21-18"
"365","57","M",2,"l","El Nino",19,"21-18"
"366","58","F",1,"l","El Nino",19,"21-18"
"367","59","F",1,"l","El Nino",19,"21-18"
"368","6","F",1,"l","El Nino",37,"21-18"
"369","60","F",1,"l","El Nino",19,"21-18"
"370","61","F",3,"l","El Nino",23,"21-18"
"371","62","F",1,"l","El Nino",23,"21-18"
"372","63","M",4,"l","El Nino",23,"21-18"
"373","64","F",3,"l","El Nino",23,"21-18"
"374","65","F",4,"l","El Nino",23,"21-18"
"375","66","M",4,"l","El Nino",23,"21-18"
"376","67","M",1,"l","El Nino",23,"21-18"
"377","68","M",3,"l","El Nino",23,"21-18"
"378","69","F",1,"l","El Nino",23,"21-18"
"379","7","F",3,"l","El Nino",37,"21-18"
"380","70","F",2,"l","El Nino",23,"21-18"
"381","71","M",3,"l","El Nino",23,"21-18"
"382","72","M",4,"l","El Nino",23,"21-18"
"383","73","F",1,"l","El Nino",23,"21-18"
"384","74","M",2,"l","El Nino",23,"21-18"
"385","75","M",4,"l","El Nino",23,"21-18"
"386","76","F",4,"l","La Nina",25,"18-14"
"387","77","M",4,"l","La Nina",25,"18-14"
"388","78","F",4,"l","La Nina",25,"18-14"
"389","79","F",4,"l","La Nina",25,"18-14"
"390","8","F",2,"l","El Nino",37,"21-18"
"391","80","M",4,"l","La Nina",25,"18-14"
"392","81","F",4,"l","La Nina",25,"18-14"
"393","82","F",4,"l","La Nina",25,"18-14"
"394","83","M",4,"l","La Nina",25,"18-14"
"395","84","M",4,"l","La Nina",25,"18-14"
"396","85","M",4,"l","La Nina",25,"18-14"
"397","86","M",4,"l","La Nina",25,"18-14"
"398","87","F",4,"l","La Nina",25,"18-14"
"399","88","M",4,"l","La Nina",25,"18-14"
"400","89","F",4,"l","La Nina",25,"18-14"
"401","9","M",4,"l","El Nino",37,"21-18"
"402","90","M",4,"l","La Nina",25,"18-14"
"403","91","F",1,"l","El Nino",39,"21-18"
"404","92","M",3,"l","El Nino",39,"21-18"
"405","93","F",2,"l","El Nino",39,"21-18"
"406","94","F",1,"l","El Nino",39,"21-18"
"407","95","M",1,"l","El Nino",39,"21-18"
"408","96","F",2,"l","El Nino",39,"21-18"
"409","97","F",4,"l","El Nino",39,"21-18"
"410","98","F",1,"l","El Nino",39,"21-18"
"411","99","M",3,"l","El Nino",39,"21-18"
